Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Rostfrei Steels Pvt Ltd,PRT0116,Whey Storage Tank Model : ZA08R3 Cap. 50,PB0262,,,,
Wadhwa Hardware,PRT0258,White Cement 1 Kg,PB1013,,,,
Bharat Hardware And Electricals,PRT0112,White Gagle Zoom Heavy,PB0926,,,,
Bharat Hardware And Electricals,PRT0112,White Glass We,PB0928,,,,
Bharat Hardware And Electricals,PRT0112,White Paint,PB1073,,,,
Royal Trading Co.,PRT0250,White Tag,PB1036,,,,
Royal Trading Co.,PRT0250,Wiper Supper Big,PB1033,,,,
Balbir Singh & Sons,PRT0167,Wire Rope U-Clamp - 10 Mm,PB0513,,,,
Bhagwati Hardware & Electricals,PRT0193,Wire Rope U-Clamp - 12 Mm,PB1167,,,,
Infotrend Technologies,PRT0158,Wireless Mouse,PB0471,,,,
Avahi Technologies,PRT0251,Wireless Mouse,PB0471,,,,
Bharat Hardware And Electricals,PRT0112,Wooden Screw 35X8,PB0558,,,,
ELITE ELECTRICALS,PRT0152,XLPE 1100V LT ALUMINIUM ARMOURED CABLE 5,PB0448,,,,
Ambica Scientific Industries,PRT0087,Yeast Extract,PB0315,,,,
Titan Biotech Limited,PRT0003,Yeast Extract Powder-R,PB0134,,,,
Bharat Hardware And Electricals,PRT0112,Yellow Paint,PB1074,,,,
Titan Biotech Limited,PRT0003,Zinc Oxide LR Grade,PB0526,,,,
Universal Industries,PRT0005,Zinc Sulphate 33%,PB0036,,,,
