Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Shri Sai Ram Enterprises,PRT0214,Hand Bag,PB0706,,,,
Global Industries,PRT0215,Hand Bag,PB0706,,,,
Shiva Tools & Mill Store,PRT0238,Hand Blower,PB0853,,,,
NILKAMAL LIMITED,PRT0101,HAND PALLET TRUCK BF115055085YEL,PB0230,,,,
Satyam Stationery Mart,PRT0015,Hard Broom Long,PB0895,,,,
Royal Trading Co.,PRT0250,Hard Broom Long,PB0895,,,,
M H Enterprises,PRT0068,HCl Commercial,PB0215,,,,
Ambica Scientific Industries,PRT0087,HCl Commercial,PB0215,,,,
R.K. Dispo Packs,PRT0012,Hdpe Round Bottle 200ml,PB0681,,,,
Bharat Hardware And Electricals,PRT0112,Hemmring Bit 6mm,PB1066,,,,
H.V.Technologies,PRT0286,HiAssorted Biochemical Test Kit HI Media,PB0414,,,,
H.V.Technologies,PRT0286,HiBacillus Identification Kit - Hi Media,PB0415,,,,
Bharat Hardware And Electricals,PRT0112,Hole Punch 12mm,PB1203,,,,
Gainwell Commonsales Private Limited,PRT0194,Hose - 7L7160,PB1278,,,,
Gainwell Commonsales Private Limited,PRT0194,Hose - 8N8093,PB1277,,,,
A. R. Enterprises,PRT0283,HRC FUSE 16A,PB0993,,,,
Bharat Hardware And Electricals,PRT0112,HRC FUSE 16A,PB0993,,,,
Mittal Machinery Store,PRT0035,"HRC FUSE LINK 160A HN ,SZ00, L&T Make",PB0226,,,,
Bhagwati Hardware & Electricals,PRT0193,HSS Haxo Blase (Hexa Blade),PB1178,,,,
Bhagwati Hardware & Electricals,PRT0193,HT Bolt Nut With Washer 12X50mm,PB1227,,,,
Bhagwati Hardware & Electricals,PRT0193,HT Grease Black 1 Kg,PB1309,,,,
Bharat Hardware And Electricals,PRT0112,HT Hex Bolt 14X100mm With Nut Washer,PB0807,,,,
Bharat Hardware And Electricals,PRT0112,HT Hex Bolt 14X150mm,PB0808,,,,
Bharat Hardware And Electricals,PRT0112,HT Hex Bolt 16X125mm,PB0975,,,,
