BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
 ,,,,,PB0116,Empty OuterBag for Patanjali Poshak 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0124,VAM Spore Technical (1Lac IP/gm),1000,Gms.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0125,Biogas Sludge Fine Powder,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0147,Active Silicon Coarser (150 Mesh),199,Kgs.,UQC_kgs,2019-04-29 17:34:53
Poshak 5 Kg NOV-18,PB0004,Patanjali Poshak 05 Kg,200,Pcs.,PB0026,Bentonite Clay Powder,250,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0031,Bentonite Clay Granule,500,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0040,Super Pottasium Humate,42,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0041,Sea Weed Powder,10,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0049,Empty Bag for Patanjali Poshak 5Kg,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0115,Soil Technical for Poshak,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0116,Empty OuterBag for Patanjali Poshak 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0124,VAM Spore Technical (1Lac IP/gm),1000,Gms.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0125,Biogas Sludge Fine Powder,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
Poshak 5 Kg SF,PB0004,Patanjali Poshak 05 Kg,200,Pcs.,PB0049,Empty Bag for Patanjali Poshak 5Kg,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0116,Empty OuterBag for Patanjali Poshak 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0121,Poshak SF,1000,Kgs.,UQC_kgs,2019-04-29 17:34:53
Neem Gold 1500ppm 5ltr (2018),PB0005,Patanjali Neem Gold 5Ltr,100, BOX,PB0051,Empty Bottle 5 Liter,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0056,Empty CV Box 5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0063,Label for Patanjali Neem Gold 05 Ltr,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
